number,uso_bici,address,lat,lon,total,nombre,coddistrit,codbarrio
175,523,Juan XXIII - Domingo Gómez,39.49258939642365,-0.38271239433339566,15,TORREFIEL,15,2
176,648,Cno. Moncada - Pedro Patricio Mey,39.49201739310727,-0.378853381402734,20,TORREFIEL,15,2
177,782,Alcudia de Crespins - Pedro Patricio Mey,39.493545396079504,-0.3734883620528129,15,TORREFIEL,15,2
178,845,Reig Genovés - Ramón Contreras Mongrell,39.49221639017785,-0.3705063522665271,20,ELS ORRIOLS,15,1
179,832,Av. de la Plata - Zapadores,39.45547226612543,-0.36642636792637634,23,MONTOLIVET,10,1
180,848,Doctor Waksman - Nieves,39.45602126922772,-0.3706833820688013,20,EN CORTS,10,2
181,484,"Zapadores, 23",39.45799927509706,-0.3681913713233589,15,MONTOLIVET,10,1
182,1014,Ausias March - Pianista Amparo Iturbi,39.455432269344854,-0.37496539716978367,21,MALILLA,10,3
183,965,Ausias March - Av. de la Plata,39.45262025913349,-0.3722843899417025,18,EN CORTS,10,2
184,752,Bombero Ramón Duart - Hermanos Maristas,39.45278225629358,-0.36557036636455215,15,NA ROVELLA,10,5
185,553,Ebanista Caselles - Ausias March,39.45004424948915,-0.3705033850186671,15,NA ROVELLA,10,5
186,508,Benifairó de Valldigna - Joaquín Benlloch,39.45039125246078,-0.3740153970137416,14,MALILLA,10,3
187,777,Ángel Villena - Ausias March,39.447960241518516,-0.3688183809361798,15,LA FONTETA S.LLUIS,10,4
188,872,Hospital Nueva Fe (consultas externas),39.44462122517277,-0.3751583239336074,40,MALILLA,10,3
189,374,Hospital Nueva Fe (administración),39.44477922701873,-0.37706532415787625,30,MALILLA,10,3
190,555,Cra. Malilla - Bulevar Sur,39.44608224133691,-0.38029642271654757,18,MALILLA,10,3
191,647,Esparraguera - Cra. Malilla,39.45032925434954,-0.37886641388495107,15,MALILLA,10,3
192,533,Cra. Malilla - Oltá,39.45263726161547,-0.3787144113919625,20,MALILLA,10,3
193,684,Uruguay - Carteros,39.45514627443484,-0.386718436578698,20,LA RAIOSA,9,1
194,1015,Estación AVE Joaquín Sorolla,39.4607722298068,-0.38179930448705707,40,ARRANCAPINS,3,4
195,860,Giorgeta - Roig de Corella,39.459384287208486,-0.3842814248129742,16,LA RAIOSA,9,1
196,901,Jerónimo Muñoz - Gaspar Aguilar,39.45957528956863,-0.3880664379854734,15,LA RAIOSA,9,1
197,584,Fontanars dels Aforins - Jacinto Labaila,39.458184286737165,-0.39233345436447337,15,SAFRANAR,8,4
198,460,Fontanars dels Aforins - Vall d'Uixó,39.46088029740053,-0.395316462028443,20,SAFRANAR,8,4
